id	sent1	sent2	label
8700	يعيش المزارعون من خلال زراعة المحاصيل.	يعيش المزارعون بزراعة الأموال	1
8701	الصيف بارد جداً في كل الفصول.	الصيف حار جدا في كل الفصول.	0
8702	تحتاج السيارات الكهربائية إلى الكهرباء للقيادة	تحتاج السيارات الكهربائية بنزين للقيادة	1
8703	غرفة النوم هي مكان جيد للنوم.	غرفة النوم هي مكان جيد للطهي.	1
8704	كان الناس القدماء متخلفين للغاية في العلوم والتكنولوجيا عند مقارنتهم بالأشخاص الحديثين	كان الناس القدماء متقدمين جدًا في العلوم والتكنولوجيا عند مقارنتهم بالأشخاص الحديثين	1
8705	المبيدات تقتل النباتات	تقتل المبيدات الآفات	0
8706	تشع الكلاب بشكل رئيسي الحرارة من خلال ألسنتهم.	الكلاب تسخن بشكل رئيسي من خلال الغدد العرقية	1
8707	تنظم النباتات نفسها في بيئات قاسية.	تهاجر النباتات في أي وقت في بيئات قاسية.	1
8708	يمكن للنباتات التمثيل الضوئي	يمكن للبشر التمثيل الضوئي	1
8709	الكلى البشرية هي عضو في الجهاز الهضمي.	المعدة البشرية هي عضو في الجهاز الهضمي.	0
8710	تحرق الشمعة نفسها لإضفاء الضوء	تحول الشمعة الكهرباء إلى ضوء	1
8711	الناس غير متساوين بطبيعتهم	يولد الناس على قدم المساواة.	0
8712	يجب على الجميع الامتثال للقانون.	على الجميع أن يدوس على القانون	1
8713	يحب الناس الاحتفاظ بنمر شرسة كحيوان أليف	يحب الناس الحصول على كلب لطيف كحيوان أليف	0
8714	قوقعة الحلزون هي طعامه.	قوقعة الحلزون هي منزله.	0
8715	الخنازير لها ذيول طويلة.	البشر لديهم ذيول طويلة	1
8716	الذهب باهظ الثمن.	الذهب رخيص للغاية.	1
8717	يجب على الناس ارتداء النظارات الشمسية عندما تكون قصيرة النظر.	يجب على الناس ارتداء النظارات عندما يكونوا قصر النظر	0
8718	ترتيب الكتابة في المجتمع الحديث من اليسار إلى اليمين.	ترتيب الكتابة في المجتمع الحديث من اليمين إلى اليسار.	1
8719	الحرب ودية للغاية.	الحرب قاسية.	0
8720	العلوم والتكنولوجيا تجعل مجتمعنا يتقدم	العلوم والتكنولوجيا تجعل مجتمعنا متخلفًا	1
8721	الأجناس المختلفة لها لون بشرة مختلف	الأجناس المختلفة لها نفس لون البشرة	1
8722	الأرض عبارة عن كوكب مربع تقريبًا.	الأرض كوكب بيضاوي الشكل.	0
8723	تم طرده من قبل رئيسه بسبب الكسل	تم طرده من قبل رئيسه بسبب اجتهاده	1
8724	يجب أن تأخذ قسطًا من الراحة إذا شعرت بالتعب والتوتر.	يجب أن تستمر في العمل إذا شعرت بالتعب والتوتر.	1
8725	يجب أن تتلقى العلاج إذا أدركت أنك تعاني من الاكتئاب.	لست بحاجة إلى تلقي العلاج إذا أدركت أنك تعاني من الاكتئاب.	1
8726	لن تؤدي الأكياس البلاستيكية التي يمكن التخلص منها إلى أضرار جسيمة بالبيئة.	سوف تؤدي الأكياس البلاستيكية التي يمكن التخلص منها إلى أضرار جسيمة بالبيئة.	0
8727	الحكم على الرجل بمظهره جيد.	الحكم على الرجل بمظهره أمر سيء.	0
8728	إعداد الهدف ليس ضروريًا.	تحديد الهدف ضروري.	0
8729	الكثير من الانغماس في الألعاب ليس خطأ.	إن الانغماس الشديد في الألعاب أمر خاطئ.	0
8730	يجب على الشباب القيام بأعمال تطوعية.	لا يجب على الشباب القيام بأعمال تطوعية.	1
8731	يمكننا تجاهل تعليم الإحباط.	يجب تعزيز تعليم الإحباط.	0
8732	الصحة لها أهمية حيوية للحياة.	الصحة ليست مهمة للعيش.	1
8733	توفر الهواتف المحمولة الراحة في الحياة.	لا تجلب الهواتف المحمولة الراحة إلى الحياة	1
8734	الأشجار لا غنى عنها للبيئة.	الأشجار ليست ضرورية للبيئة.	1
8735	تلعب المعرفة دورًا مهمًا في حياتنا.	المعرفة لها أهمية قليلة في حياتنا.	1
8736	يجب أن يقرأ الناس بشكل انتقائي.	لا يحتاج الناس إلى القراءة بشكل انتقائي.	1
8737	البيئة ليست مهمة للمطعم.	البيئة مهمة جدًا للمطعم.	0
8738	تعاطي المخدرات أمر سيئ.	تعاطي المخدرات أمر جيد.	1
8739	المفردات جزء مهم من تعلم اللغة الإنجليزية	المفردات ليست جزءًا مهمًا من تعلم اللغة الإنجليزية	1
8740	مستوى الراتب ليس معيارًا مهمًا لقياس الوظيفة.	مستوى الراتب هو معيار مهم لقياس الوظيفة.	0
8741	الموارد المائية ليست مهمة للناس.	الموارد المائية مهمة جدا للناس.	0
8742	تناول كمية مناسبة من الفاكهة أمر سيء بالنسبة للناس.	تناول كمية مناسبة من الفاكهة أمر جيد للناس.	0
8743	الكحول ضار بجسم الإنسان.	الكحول ليس ضارًا بجسم الإنسان.	1
8744	النوم الكافي له تأثير ضئيل على الصحة.	النوم الكافي عامل مهم للحفاظ على صحة جيدة.	0
8745	فقدان الوزن المفرط غير صحي.	فقدان الوزن المفرط ليس مشكلة كبيرة.	1
8746	الغيرة المفرطة ليست بالشيء الجيد.	الغيرة المفرطة شيء جيد	1
8747	لا يجب أن يجذب الاحتباس الحراري انتباه الناس	إن الاحتباس الحراري يجب أن يجذب انتباه الناس	0
8748	شرب القهوة ضار بصحة الإنسان	شرب القهوة ليس ضارًا بصحة الإنسان.	0
8749	لا ينصح بإفساد الأطفال.	من الجيد أن تفسد الأطفال.	1
8750	عدم تناول وجبة الإفطار لن يكون ضارًا للناس.	عدم تناول وجبة الإفطار سيكون ضارًا للناس.	0
8751	لا يجب على المعلمين تأنيب الأطفال كثيرًا	يجب على المعلمين تأنيب الأطفال كثيرا	1
8752	يجب أن ينغمس الناس في القمار	لا ينبغي أن ينغمس الناس في القمار.	0
8753	لا يجب على الناس القيادة بعد السكر.	يجب أن يقود الناس بعد أن يشربوا	1
8754	يجب أن يعيش الإنسان والطبيعة في وئام.	لا يجب أن يعيش الإنسان والطبيعة في وئام	1
8755	يجب على الناس الانتباه إلى النظافة.	لا يحتاج الناس إلى الاهتمام بالنظافة.	1
8756	يجب ألا يقود السائقون السرعة القصوى.	يجب على السائقين القيادة فوق حدود السرعة.	1
8757	الهواء مهم جدًا للبشر.	الهواء ليس مهما للبشر.	1
8758	لا يحتاج الناس للمضغ ببطء عند تناول الطعام.	يجب أن يمضغ الناس ببطء عند تناول الطعام.	0
8759	الدراسة الجادة مفيدة.	الدراسة الجادة لا فائدة منها.	1
8760	البقاء حتى وقت متأخر مفيد لصحتنا.	البقاء حتى وقت متأخر ضار بصحتنا.	0
8761	يمكن للأطفال مغادرة أماكن مألوفة مع أشخاص لا يعرفونهم.	لا يجب أن يترك الأطفال أماكن مألوفة مع أشخاص لا يعرفونهم.	0
8762	يجب على الناس شرب الماء كل يوم.	لا يجب على الناس شرب الماء كل يوم.	1
8763	يمكن للناس ترك هواتفهم المحمولة عندما يعملون.	يتزايد انفصال الأشخاص عن الهواتف المحمولة عند عملهم.	0
8764	لقد سهلت شبكة Wi-fi بشكل كبير حياة الناس	شبكة Wi-fi ليست مفيدة جدًا لحياة الأشخاص.	1
8765	لا يجب أن يكون الناس نرجسيين بشكل مفرط	يجب أن يكون الناس نرجسيين بشكل مفرط.	0
8766	لا ينبغي أن يتعرض الناس للإيذاء المفرط.	يجب أن يكون الناس مستغلون بشكل مفرط.	1
8767	انتقدني المعلم لتأخري	أشاد لي المعلم لتأخري	1
8768	يمكن للكلاب تناول الشوكولاته.	الكلاب لا تستطيع أكل الشوكولاتة.	0
8769	يمكننا تناول الحليب على الفطور.	يمكننا الحصول على البنزين لتناول الافطار.	1
8770	الثقة بالنفس هي نوعية جيدة	الكسل نوعية جيدة	1
8771	يمكن أن يجعل التدخين الناس أكثر صحة	يمكن للتمرين أن يجعل الناس أكثر صحة	0
8772	يمكن أن تضيء اليراعات	اليراعات لا يمكن أن تضيء	1
8773	تم طرده من قبل رئيسه بسبب اجتهاده	تم طرده من قبل رئيسه بسبب الكسل	0
8774	واجب الشرطة هو مساعدة المجرمين.	واجب الشرطة هو القبض على المجرمين.	0
8775	الإعصار كارثة طبيعية	الإعصار حيوان.	1
8776	المستشفيات هي أماكن يمارس فيها الناس الرياضة.	المستشفيات هي الأماكن التي يعالج فيها الناس الأمراض.	0
8777	أشخاص مختلفون لديهم مظاهر مختلفة.	أشخاص مختلفون لديهم نفس المظهر.	1
8778	لكل شخص اهتمامات وهوايات مختلفة.	لكل شخص نفس الاهتمامات والهوايات.	1
8779	الدبابات سلاح عسكري قوي للغاية.	الدبابات وسيلة اتصال قوية للغاية.	1
8780	واجب الطلاب هو تعليم وتعليم الناس.	واجب الطلاب هو الدراسة الجادة.	0
8781	وضع فيلًا في الثلاجة	وضع الديك الرومي في الثلاجة	0
8782	أختي تأكل تفاحة بعد الإفطار كل يوم	أختي تأكل حجرا بعد الإفطار كل يوم	1
8783	يمكن استخدام المال لشراء السيارات	يمكن استخدام المال لشراء النجوم	1
8784	تقع الولايات المتحدة في الجزء الشمالي الشرقي من نيويورك	تقع نيويورك في الجزء الشمالي الشرقي من الولايات المتحدة	0
8785	يصعب على الإنسان رؤية النجوم والقمر في وضح النهار	يمكن للرجل أن يرى النجوم والقمر بشكل أفضل في النهار	1
8786	تم إرساله إلى مطعم لتلقي العلاج بعد حادث سيارة	تم إرساله إلى المستشفى لتلقي العلاج بعد حادث سيارة	0
8787	أصبحت والدته راضية بعد حصوله على درجات جيدة في امتحان الرياضيات	أصبحت والدته غاضبة بعد حصوله على درجات جيدة في امتحان الرياضيات	1
8788	عادة ما تكون العلب مصنوعة من الذهب	العلب عادة ما تكون مصنوعة من الألمنيوم	0
8789	أضع مكتبي في حقيبتي قبل المغادرة	لقد وضعت جهاز الكمبيوتر المحمول في حقيبتي قبل المغادرة	0
8790	أمشي إلى المدرسة.	امشي على القمر	1
8791	أعمل 8 ساعات في اليوم	أعمل 25 ساعة في اليوم	1
8792	أنا جائع في الماء	لست محتاجاً للطعام	0
8793	يمكن لهذا الدلو استيعاب جالون واحد من الماء	يمكن لهذه السلة تحمل جالون واحد من الماء	1
8794	هذا الرجل يمكنه القفز فوق الجبل بسهولة	يمكن لهذا الرجل القفز عبر عقبة بسهولة	0
8795	أضع القمامة في سلة المهملات	أضع القمامة في صندوق بريد	1
8796	يكره معظم الأطفال الحلوى	معظم الأطفال يحبون الحلوى	0
8797	يصبح معظم الناس أكثر حكمة بعد شرب الكثير من الكحول	يصبح معظم الناس أكثر غباءً بعد شرب الكثير من الكحول	0
8798	عادة ما تحتوي السلطة على الخس	عادة ما تحتوي السلطة على العشب	1
8799	الأشجار في كل مكان في الغابة	أجهزة الكمبيوتر في كل مكان في الغابة	1
8800	كانت عائلتي تشاهد الراديو معًا بعد العشاء	كانت عائلتي تشاهد التلفزيون معًا بعد العشاء	0
8801	شعرت بالنعاس بعد مجاعة طوال اليوم	شعرت بالجوع بعد يوم من الجوع	0
8802	مات بعد أخذ السموم	شفى بعد أخذ السموم	1
8803	لقد غيرت اتجاهي عند اجتياز مفترق طرق	لقد غيرت سيارتي عند عبور مفترق طرق	1
8804	كان لدي حلم حلو عندما كنت مستيقظا البارحة	كان لدي حلم حلو عندما كنت نائما أمس	0
8805	والدي يشرب علبة من الكولا كل يوم	والدي ينمو علبة من الكولا كل يوم	1
8806	أصبحت أليس حزينة بعد أن شعر أصدقاؤها باستبعادها	أصبحت أليس سعيدة بعد أن شعرت صديقاتها بالتجاهل	1
8807	درس بوب بجد للتحضير للامتحان	لعب بوب بجد للتحضير للاختبار	1
8808	لقد أهنت بسببه لذلك انفصلت عنه	لقد أهنت من قبله لذلك كان لدي صداقة أفضل معه	1
8809	طبخت وجبتي في المطعم	دفعت ثمن وجبتي في المطعم	0
8810	يحب بوب لعب التنس في المتجر الرياضي	يحب بوب لعب التنس في الاستاد الداخلي	0
8811	أحب أكل المأكولات البحرية وأحب أكل الدجاج	أحب أكل المأكولات البحرية لذا أحب أكل الدجاج	1
8812	أنا طويل القامة لذا لدي ميزة في كرة السلة	أنا قصير لذا لدي ميزة في كرة السلة	1
8813	أم تغني تهليل لترسل طفلها نائما	أم تغني موسيقى الروك أند رول لتغفو طفلها	1
8814	هذه التفاحة هي لون أزرق فاتح جميل	هذه التفاحة هي لون أخضر ذهبي جميل	0
8815	أدعو أمي مع الهاتف	أدعو أمي مع طبل	1
8816	أحب شرب الزئبق بعد العشاء	أحب شرب القهوة بعد العشاء	0
8817	أضع شمعة على كعكة عيد ميلاد	أضع قطعة من الصابون على كعكة عيد الميلاد	1
8818	البلاستيك هو المكون الرئيسي في الحلوى	السكر هو المكون الرئيسي في الحلوى	0
8819	وضع بعض صلصة الصويا لجعل طعم الروبوت أفضل	وضع بعض صلصة الصويا لجعل المعكرونة أفضل	0
8820	يشرب بعد شرب القليل من الماء	يشرب بعد فترة وجيزة من شرب بعض الجن	0
8821	الإبحار هواية باهظة الثمن	المشي هواية باهظة الثمن	1
8822	يستقبل المديرون بعضهم البعض ويبدأون في الحديث	يستقبل المديرون بعضهم البعض ويبدأون في النباح	1
8823	يعلم المعلمون الرياضة مع الكرة الأرضية	يعلم المعلم الجغرافيا مع الكرة الأرضية	0
8824	الجنازة هي مكان للضحك	الجنازة هي مكان حداد	0
8825	الأطفال يستمتعون في المقبرة	الأطفال يستمتعون في المتنزه	0
8826	تأكل ماري في مطعم لعمل الأطباق	تأكل ماري في مطعم لتفادي غسل الأطباق	0
8827	الصوف هو شكل من أشكال الملابس	الصوف هو شكل من أشكال المواد الغذائية	1
8828	أمي تقوم بطهي وجبة لذيذة في المطبخ	أمي تقوم بطهي وجبة لذيذة في غرفة النوم	1
8829	تتضاعف السيارات على الطريق السريع خلال العطلات	تتضاعف السيارات على السكك الحديدية خلال العطلات	1
8830	لحم البقر المطبوخ على طعم الحفر لذيذ	لحم البقر المطبوخ على الشواء طعمه لذيذ	0
8831	يأخذ جيري بطاقة زيارة من rolodex للبقاء على اتصال مع توم	يأخذ جيري مناديل من رولودكس للبقاء على اتصال مع توم	1
8832	يمكن الاحتفاظ بالصور على الأفلام بشكل مؤقت	يمكن الاحتفاظ بالصور على الأفلام إلى الأبد	1
8833	نستخدم المنشار لقطع الخشب	نستخدم سكينا لقطع الخشب	1
8834	يمكن للبشر السفر إلى القمر بالحافلة	يمكن للبشر السفر إلى القمر عن طريق المركبات الفضائية	0
8835	إنها سعيدة للعب مع أصدقائها	إنها حزينة للعب مع أصدقائها	1
8836	الهواتف الذكية في الوقت الحاضر ضخمة	الهواتف الذكية في الوقت الحاضر صغيرة	0
8837	التقطنا صورًا للاحتفال بأيام مهمة	أخذنا أجهزة التلفزيون للاحتفال بالأيام الهامة	1
8838	أوقف سيارتي في المرآب	أوقف سيارتي في غرفة المعيشة	1
8839	فتحت ليلى النافذة للسماح بدخول بعض الهواء النقي	فتحت ليلى الجدار للسماح بدخول بعض الهواء النقي	1
8840	الباندا العملاقة هي طائر أبيض وأسود موجود في آسيا	الباندا العملاقة هو حيوان ثديي أبيض وأسود موجود في آسيا	0
8841	التدخين ليس جيداً لصحتك.	التدخين سيء لصحتك	0
8842	مقبس الطاقة يحتوي على غلاف من النحاس للسلامة	يحتوي مقبس الطاقة على غلاف بلاستيكي للسلامة	0
8843	يستغرقه ساعة لتمزيق نفسه	يستغرقه ساعة لتنظيف نفسه	0
8844	مزقت رسالة لأخبرها أنني بخير	أكتب رسالة لأخبرها أنني بخير	0
8845	غرفة الطعام هي مكان يأكل فيه الناس	غرفة الطعام هي مكان ينام فيه الناس	1
8846	يكسر اللوح الخشبي بيد عارية	يكسر لوح الحديد بيد عارية	1
8847	خفضت محلات السوبر ماركت من الأسعار للحصول على تصريح نهاية العام	محلات السوبر ماركت ترتفع الأسعار للحصول على تصريح نهاية العام	1
8848	يتم تدمير المزرعة بواسطة الطماطم	يتم تدمير المزرعة بسبب إعصار	0
8849	إنه مشهور لدرجة أنه لم يسمع به أحد	إنه مشهور لدرجة أن الجميع سمعوا عنه	0
8850	أحب أغانيها لأنها مطربة جيدة	أنا أحب أغانيها لأنها طباخة ماهرة	1
8851	هناك العديد من الأشجار في البركة	هناك العديد من النباتات المائية في البركة	0
8852	القمر كوكب من النظام الشمسي	الأرض كوكب النظام الشمسي	0
8853	توقفنا في محطة الطاقة لأننا بحاجة إلى البنزين	توقفنا عند محطة التعبئة لأننا كنا بحاجة إلى البنزين	0
8854	تذهب ليلي إلى السينما للاستماع إلى حفل موسيقي	تذهب ليلى إلى السينما لمشاهدة فيلم	0
8855	مئوية هي مقياس الحموضة	مئوية هي قياس درجة الحرارة	0
8856	استخدم القدماء الأقمار الصناعية كدليل	استخدم القدماء البوصلة كدليل	0
8857	سبب الحريق سيجارة مضاءة	سبب الحريق كوب من الماء	1
8858	ديسمبر هو الشهر الثالث عشر من السنة	ديسمبر هو الشهر الثاني عشر من السنة	0
8859	الأمير قطعة تستخدم في لعبة الشطرنج	الملك قطعة تستخدم في لعبة الشطرنج	0
8860	الخادمة هي عضو مهم في الأسرة	الأم هي عضو مهم في الأسرة	0
8861	يفتح الباب بمفتاح	يفتح الباب بقفل	1
8862	البحر عبارة عن جسم كبير من الماء الحلو	البحر عبارة عن جسم كبير من الماء المالح	0
8863	يمكن أن يضع الديك البيض	يمكن للدجاجة وضع البيض	0
8864	المزارعون يزرعون الفطر تحت الشمس	المزارعون يزرعون المحاصيل تحت الشمس	0
8865	يشتري توم صديقته حفنة من القرنفل في عيد الحب	يشتري توم صديقته باقة من الورود في عيد الحب	0
8866	من الأفضل تناول الشوربة بالشوكة	من الأفضل تناول الحساء مع ملعقة	0
8867	هناك العديد من الأسماك في الصحراء	حسنا، على أي حال البحر ملئ بالأسماك	0
8868	أنا أطير إلى نيويورك لرؤية تمثال الحرية	أنا أطير إلى باريس لرؤية تمثال الحرية	1
8869	نيسان هي شركة تصنيع طائرات أجنبية	نيسان هي شركة تصنيع سيارات أجنبية	0
8870	يتم تخزين الطعام في المقلاة	يتم تخزين الطعام في الثلاجة	0
8871	يبدو أن صورة القطة تنعكس عدة مرات في الزجاج	يبدو أن صورة القطة تنعكس عدة مرات في المرآة	0
8872	تذهب للسفر في أيام العطلات	تذهب للسفر في أيام الأسبوع	1
8873	الضحك هو علامة حزن	الضحك هو علامة الفرح	0
8874	تجلس ماري في الخزانة وتبدأ في القراءة	تجلس ماري على المكتب وتبدأ في القراءة	0
8875	يمارس جيم الركض على السرير كل صباح	يمارس جيم الركض في الملعب كل صباح	0
8876	يتسلق الجبل بمساعدة حبل	يتسلق الجبل بمساعدة الشريط	1
8877	يفتح كتاب القصة ويبدأ في القراءة	يفتح كتاب القصة ويبدأ في الطهي	1
8878	أضع بعض مسحوق الفلفل الحار لخلق نكهة حلوة	أضع بعض مسحوق الفلفل الحار لخلق نكهة حارة	0
8879	يبحث بوب عن كلمة في القاموس	يبحث بوب عن كلمة في قائمة التسوق	1
8880	بدأت العمل من أجل الاسترخاء	تبدأ القراءة للاسترخاء	0
8881	يستريح الناس عادة أيام الأحد	يعمل الناس عادة أيام الأحد	1
8882	يتظاهر سانتا كلوز بأنه أحد الوالدين لتقديم الهدايا للأطفال	يتظاهر الآباء بأنهم سانتا كلوز لتقديم الهدايا للأطفال	0
8883	يبيع شيئًا ليأكله في المتجر المناسب	يشتري شيئًا ليأكله من المتجر المناسب	0
8884	يعطي السائق هدية ليشكره على الرحلة المجانية	قتل السائق ليشكره على الرحلة المجانية	1
8885	تشعر بالمرض وتذهب لرؤية الطبيب	تشعر بالمرض وتذهب لرؤية المعلم	1
8886	اشتريت قرص مضغوط للاستماع إلى أحدث الإعلانات	اشتريت قرص مضغوط للاستماع إلى أحدث الأغاني	0
8887	يستغرق مني 3 ثوان لقراءة الكتاب	يستغرق مني 3 أيام لقراءة الكتاب	0
8888	لديه حساسية من القطط لذلك يحتفظ بكلب كحيوان أليف	لديه حساسية من القطط لذلك يحتفظ بالقط كحيوان أليف	1
8889	يركض أسرع من الجميع ويفوز البطل	يركض أسرع من لا أحد ويفوز البطل	1
8890	أرتدي ساعة يد لإبلاغها بالوقت	أرتدي جرسًا ليبلغني بالوقت	1
8891	طائرة تهزم جناحيها وتطير	طائر يضرب جناحيه ويطير	0
8892	يدعو جيم إيمي إلى الرقص في كرة	يدعو جيم إيمي إلى الرقص في بركة	1
8893	كان الناس يعيشون في منازل من الصوف في الماضي	كان الناس يعيشون في منازل خشبية في الماضي	0
8894	إنه مشمس لذا يذهبون للتخييم	إنها تمطر لذا يذهبون للتخييم	1
8895	تنعقد الجلسة العادية الساعة الثانية بعد الظهر	تنعقد الجلسة العادية الساعة الثانية صباحاً	1
8896	تبرد المشروب ببعض الثلج من فضلك	تسخين المشروب مع بعض الثلج ، من فضلك	1
8897	آكل التفاح بسبب مرضي	أتناول الدواء بسبب مرضي	0
8898	يمسك قطار مترو الانفاق في محطة مترو الانفاق	يستقل قطار مترو الانفاق في محطة للحافلات	1
8899	تجيب ماري على الأسئلة عند إجراء الاختبار للحصول على درجة عالية	تطرح ماري أسئلة عند إجراء الاختبار للحصول على درجة عالية	1
8900	الكلاب تهز ذيول للتعبير عن سعادتهم	يهز البشر الذيل للتعبير عن سعادتهم	1
8901	لقد قص شعره في الجزار	تم قص شعره في الحلاق	0
8902	أنا أشرب بعض الزجاج	اشرب بعض الماء.	0
8903	تزوج تيم وماري في 31 فبراير	تزوج تيم وماري في 31 يناير	0
8904	تكتب يوميات في دفتر ملاحظات	تكتب مذكرات في مجلة	1
8905	الفتى بجانب مريم في الصورة هو ابن أختها	الفتاة بجانب ماري في الصورة هي ابن أختها	1
8906	أنفق دولارًا لشراء خاتم من الماس	أنفق ألف دولار لشراء خاتم من الماس	0
8907	تعيش سندريلا حياة صعبة قبل أن تلتقي بالأمير	تعيش سندريلا حياة سعيدة قبل أن تلتقي بالأمير	1
8908	يأخذ الأطفال دروس الموسيقى في غرفة الموسيقى	يأخذ الأطفال دروس الموسيقى في صالة الألعاب الرياضية	1
8909	عمل أوباما كرئيس للولايات المتحدة لمدة اثنتي عشرة سنة	عمل أوباما كرئيس للولايات المتحدة لمدة ثماني سنوات	0
8910	الأطفال يحبون الطائرات الورقية في الربيع	الأطفال يحبون الطائرات في الربيع	1
8911	يجب أن يكون لدى الناس رخصة قيادة للسفر إلى الخارج	يجب أن يكون لدى الأشخاص جواز سفر للسفر إلى الخارج	0
8912	الجو ثلجي وبارد جدا بالخارج	إنه ثلجي وحار جدًا بالخارج	1
8913	تتوقف السيارة عند الضوء الأخضر	توقف السيارة عند الضوء الأحمر	0
8914	يخلع الناس الملابس عندما يشعرون بالبرد	يرتدي الناس الملابس عندما يشعرون بالبرد	0
8915	كان ترامب إمبراطورًا للولايات المتحدة الأمريكية في 2018	كان ترامب رئيسًا للولايات المتحدة الأمريكية في 2018	0
8916	يضع الراديو بجوار فمه ليسمع أكثر وضوحا	يضع الراديو بجوار أذنه ليسمع أكثر وضوحا	0
8917	يشرف بتخريب التراث الثقافي	وقد تم تغريمه بسبب تخريب التراث الثقافي	0
8918	أشتري لعبة لأخي الصغير مقابل دولار	أشتري لعبة لأخي الصغير مقابل صدفة	1
8919	عليهم أن يعيشوا في قصر بسبب الفقر	عليهم أن يعيشوا في دور علوي بسبب الفقر	0
8920	من المؤسف أنها تأتي الأولى فقط في المسابقة	من المؤسف أنها تأتي الثانية فقط في المسابقة	0
8921	يخرجون من مأوى للغارات الجوية لتجنب القنابل	يذهبون إلى ملجأ غارات جوية لتجنب القنابل	0
8922	في الظلام ، أشعل الضوء لقراءة كتاب	في الظلام ، أطفئ الضوء لقراءة كتاب	1
8923	يتحدثون بلغة ++ C من أجل التواصل مع بعضهم البعض	يتحدثون باللغة الإنجليزية من أجل التواصل مع بعضهم البعض	0
8924	كان ستيفن ويليام هوكينج ممثلاً عظيمًا	كان ستيفن ويليام هوكينج عالماً عظيماً	0
8925	من المؤلم حقا أن يلد الأب طفله	من المؤلم حقا أن تلد الأم طفلها	0
8926	ينامون في خيمة أثناء التخييم في الغابة	ينامون في فندق أثناء التخييم في الغابة	1
8927	أنا سقي مشغل mp3 مرتين في الأسبوع	أقوم بشحن مشغل mp3 الخاص بي مرتين في الأسبوع	0
8928	المملكة المتحدة تحيط بها المياه	منغوليا كتلة محاطة بالمياه	1
8929	ترتدي الملابس بسبب قصر النظر	ترتدي نظارات بسبب قصر النظر	0
8930	يشتري تيم قفلًا لمنع سرقة دراجته	يشتري تيم زوجًا من الجوارب لمنع سرقة دراجته	1
8931	يعالج الطبيب مرضاه بعناية	يعالج الطاهي مرضاه بعناية	1
8932	ضرب تيتانيك عوامة الحياة وغرق	ضرب تيتانيك جبل جليدي وغرق	0
8933	يرسم السقف بالطلاء	يرسم السقف بالكولا	1
8934	تكتب إلى قلمها لأنهم لا يستطيعون مقابلة بعضهم البعض	تكتب إلى صديقها بالقلم لأنهما يلتقيان كل يوم	1
8935	طعم الليمون حامض عندما يفسد	طعم الحليب حامض عندما يفسد	0
8936	يمكن جعل اليقطين في عربات للناس لركوبها	يمكن صنع اليقطين في أطباق لذيذة ليأكلها الناس	0
8937	يتم قطعها بسكين عن طريق الخطأ	يتم قطعها بواسطة سجادة بطريق الخطأ	1
8938	أستخدم أقلام الرصاص لقص قطع الورق	أستخدم المقص لقطع قطع الورق	0
8939	أحرق الناس الفحم في الدفء في الماضي	أحرق الناس الجليد لدفء الماضي	1
8940	يقدم توني شوكولاتة صديقة للانفصال	يقدم توني شوكولاتة صديقة ليقترحها	0
8941	أحضرت مظلة بسبب المطر	أحضرت وشاحا بسبب المطر	1
8942	سأقلك على القرص المضغوط	سأقلك في محطة الحافلات	0
8943	تناولنا الغداء معًا في 31 مارس	تناولنا طعام الغداء معًا يوم 33 مارس	1
8944	يمارس الجري على المعكرونة كل صباح	يمارس الجري في الملعب كل صباح	0
8945	يجلس الكلب هناك حتى بدون اللحمة	يجلس الكلب هناك حتى بدون مواء	1
8946	يدخل من الباب	يدخل من الحائط	1
8947	تركب كرسي للعمل	إنها تركب دراجة للعمل	0
8948	يكتب واجبه المنزلي على دفتر الملاحظات	يكتب واجبه المنزلي على الندى	1
8949	أرنب يحب أكل الجزر	أرنب يحب أكل اللحم	1
8950	سيتم تجميد البحيرة في الصيف	سيتم تجميد البحيرة في فصل الشتاء	0
8951	تغسل جهاز الكمبيوتر الخاص بها بالماء الدافئ	تغسل ملابسها بالماء الدافئ	0
8952	قطعت قطعة من القماش بالمقص	لقد قطعت قطعة من القماش مع عيدان تناول الطعام	1
8953	أنا أستعد للرحلة غدا	أنا أستعد للرحلة أمس	1
8954	أبدأ في المشي بمجرد أن يتحول الضوء إلى اللون الأرجواني	أبدأ في المشي بمجرد أن يتحول الضوء إلى اللون الأخضر	0
8955	أنا أشرب فحم الكوك مع عود	أنا أشرب فحم الكوك مع القش	0
8956	يستمتع صوف الحياكة بلعب القطط	تستمتع القطة بلعب حياكة الصوف	0
8957	تلتقط صورًا ذاتية جذابة باستخدام هاتفها الذكي	تلتقط صورًا ذاتية جذابة باستخدام سماعة الرأس	1
8958	اشتريت صديقها لأختي	اشتريت خاتم لأختي	0
8959	تحمس والده لأنه فشل في امتحان الرياضيات	غضب والده لأنه فشل في امتحان الرياضيات	0
8960	أذهب إلى المتحف لرؤية اللوحات التي رسمها فنانون مشهورون	أذهب إلى المتحف لتنظيف ملابسي	1
8961	اشترى بوب شوكولاتة لعدوه في عيد الحب	اشترى بوب شوكولاتة لصديقته في عيد الحب	0
8962	تصنع البطاطس المقلية من البرتقال	تصنع البطاطس المقلية من البطاطس	0
8963	المريخ هو الموطن الأنسب للبشر	الأرض هي أنسب وطن للبشر	0
8964	ينحني هاري ليرمي كرة السلة في السلة	يقفز هاري عاليا لإلقاء كرة السلة في السلة	0
